key,zh_CN,en
弹窗,弹窗,PopUp
初始化,初始化,Reset
云灵剑宗,云灵剑宗,Cloud Spirit Sword Sect
七星阁,七星阁,Hepstar Pavilion
五行道盟,五行道盟,Five Elements Alliance
锻玄宗,锻玄宗,Duan Xuan Sect
炼丹师,炼丹师,Elixirist
符咒师,符咒师,Fuluist
琴师,琴师,Musician
画师,画师,Painter
阵法师,阵法师,Formation Master
灵植师,灵植师,Plant Master
命理师,命理师,Fortune Teller
计数,计数,Counter
副职,副职,Side Job
门派,门派,Sect
English,English,中文
En,En,中文
[卡池/手牌]的卡牌总数,[卡池/手牌]的卡牌总数,Total number of cards in [Pool/Hand]
重置计数器和副职,重置计数器和副职,Reset the counter and side job
筑基,筑基,Foundation
金丹,金丹,Virtuoso
元婴,元婴,Immortality
化神,化神,Incarnation
tool_tip_mobile_model,"点击切换检测模型（当前：低精度）\n暂不支持热切换（将重置已记录数据）\nTips：\n影响识别准确率和速度，具体表现取决于CPU性能\n此外选择尽量高的游戏分辨率也可以提高准确率","Click to switch detection model (currently: low precision)\nHot switching is not supported yet (recorded data will be reset)\nTips:\nAffects recognition accuracy and speed, the specific performance depends on CPU performance\nIn addition, choosing the highest possible game resolution can also improve accuracy"
tool_tip_server_model,"点击切换检测模型（当前：高精度）\n暂不支持热切换（将重置已记录数据）\nTips：\n影响识别准确率和速度，具体表现取决于CPU性能\n此外选择尽量高的游戏分辨率也可以提高准确率","Click to switch detection model (currently: high precision)\nHot switching is not supported yet (recorded data will be reset)\nTips:\nAffects recognition accuracy and speed, the specific performance depends on CPU performance\nIn addition, choosing the highest possible game resolution can also improve accuracy"
low_det_model,低精度,Low precision
high_det_model,高精度,High precision
new_version,查看最新版本信息,View the latest version information
YiSim_link,"友情链接\nYiSim: 弈仙牌模拟器\nBy Kiven and Sharp","Friendly Links\nYiSim: YiXian Simulator\nBy Kiven and Sharp"
QQ_author,联系作者,Author's QQ
bilibili_author,bilibili主页,bilibili page